NOT_INTERESTED_IN_ANY_SOCIETY_TRIGGER;目前尚未对社会产生兴趣;;;;;;;;;;X
INTERESTED_IN_ANY_SOCIETY_TRIGGER;目前已经对社会产生兴趣;;;;;;;;;;X
reprimanded_merchants;受惩戒的商人;;;;;;;;;;X
reprimanded_merchants_desc;由于做生意不诚实而失去特权，这个国家的商人开始沮丧。;;;;;;;;;;X
dealing_with_dishonest_traders;处置不诚实的商人;;;;;;;;;;X
dealing_with_dishonest_traders_desc;这个人正忙着寻找并劝说商人遵守更严格的行动协议。;;;;;;;;;;X
defending_vassal_rights;保卫诸侯权利;;;;;;;;;;X
defending_vassal_rights_desc;当他们的封臣受到其他人的影响时，这个人由于为封臣发声而出名。;;;;;;;;;;X
EVTDESC_JD_30002;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\n我们已经注意到尊贵的 [From.Offmap.Ruler.GetShortChineseEmperorName] ，您的商人对我国的不诚信的商业行为，我们要确信你会保证这种行为马上就会停止。;;;;;;;;;;X
EVTOPTA_JD_30002;我们需要限制贸易行会的权利。;;;;;;;;;;X
EVTOPTB_JD_30002;我要让 [target_marshal.GetFirstName] 寻找并处理犯错误的人;;;;;;;;;;X
EVTOPTC_JD_30002;我们的商人如何贸易与王位无关。;;;;;;;;;;X
EVTDESC_JD_30003;[From.GetTitledFirstName] 限制了你的商人的自由，由于他们与其他王国不正当的互动行为。 然而，我们商人的权利却在我们的管辖范围之内，如果我们公开宣布， [From.GetFirstName] 可能会愤怒，但是这是一个展示决心的机会。;;;;;;;;;;X
EVTOPTA_JD_30003;为权力滥用发表公开声明。;;;;;;;;;;X
EVTOPTB_JD_30003;我要确保我和 [From.GetFirstName]关系良好。;;;;;;;;;;X
EVTDESC_JD_30004;你的封臣, [From.GetTitledFirstName] , 商人权利在 [From.GetHerHis] 的侵犯没有给你留下深刻印象。 [From.GetSheHeCap] 现在已经公开声明到：为何这种行为是对权利的不正当的在[From.GetHerHis]处的不负责任的滥用。 ;;;;;;;;;;X
EVTOPTA_JD_30004;[From.GetHerHisCap] 的商人需要遵守规章！;;;;;;;;;;X
OFFMAP_CHANGE_CURRENCY_GAIN;得到 $VALUE|G$ $CURRENCY|Y$ 通过 $OFFMAP|Y$;;;;;;;;;;X
OFFMAP_CHANGE_CURRENCY_LOSE;失去 $VALUE|R$ $CURRENCY|Y$ 通过 $OFFMAP|Y$;;;;;;;;;;X
EVTDESC_JD_30011;昨晚, [chinese_courtier.GetBestName] 和我谈论[chinese_courtier.GetRootMatchingPersonalityStreak]到黄昏。 我必须得留下一个好印象, 因为 [chinese_courtier.GetSheHe] 告诉我 [chinese_courtier.GetSheHe] 将会写信, 称赞 [chinese_courtier.GetSheHe]的热情已经被收到了。;;;;;;;;;;X
EVTOPTA_JD_30011;愉快的一晚;;;;;;;;;;X
EVTOPTB_JD_30011;我要确定每个人都知道这件事。;;;;;;;;;;X
EVTDESC_JD_30012;我注意到我与 [chinese_courtier.GetBestName] 的关系在这两个星期内，已经持续恶化，今天我出言不逊， 导致[chinese_courtier.GetHerHim] 拂袖离去，并声称天子会得知这些消息。;;;;;;;;;;X
EVTOPTA_JD_30012;这可能恶化我们与 [offmap_china.Governor.Offmap.GetShortName]的关系。;;;;;;;;;;X
EVTOPTB_JD_30012;守卫逮捕了[chinese_courtier.GetManWoman]!;;;;;;;;;;X
chinese_silk_road_favored_status;需要贸易协定;;;;;;;;;;X
chinese_silk_road_favored_status_modifier_tt;所有的在 §Y[From.PrimaryTitle.GetName]§! 的贸易节点获得了 §G100%§! 25年的贸易收入提升。;;;;;;;;;;X
chinese_imperial_trade_contract;皇室贸易协定;;;;;;;;;;X
MULTIPLICATIVE_TRADE_POST_INCOME_MODIFIER;贸易收入;;;;;;;;;;X
EVTOPTA_JD_30045;希望 [Root.TrueReligion.GetHighGodName] 能够帮助我们...;;;;;;;;;;X
EVTOPTA_JD_30047;怎样才能把这头野兽拉下来?!;;;;;;;;;;X
SETTLEMENT_FINISHED_LOG;一个 $SETTLEMENTTYPE|Y$ 已经结束了在 $PROVINCE|Y$ 的建设;;;;;;;;;;X
null_society;社会;;;;;;;;;;X
null_society_currency;社会货币;;;;;;;;;;X
HAS_ARTIFACT;拥有 $VAL|Y$ 工艺品;;;;;;;;;;X
HAS_ARTIFACT_NOT;未拥有 $VAL|Y$ 工艺品;;;;;;;;;;X
OFFMAP_STATUS_TRIGGER_NOT;没有 $STATUS|Y$ 地位;;;;;;;;;;X
OFFMAP_STATUS_TRIGGER;拥有 $STATUS|Y$ 地位;;;;;;;;;;X
OFFMAP_PREV_STATUS_TRIGGER_NOT;不再拥有 $STATUS|Y$ 的地位;;;;;;;;;;X
OFFMAP_PREV_STATUS_TRIGGER;仍然拥有 $STATUS|Y$ 的地位;;;;;;;;;;X
OFFMAP_POLICY_TRIGGER_NOT;没有 $POLICY|Y$ 作为政策;;;;;;;;;;X
OFFMAP_POLICY_TRIGGER;拥有 $POLICY|Y$ 作为政策;;;;;;;;;;X
OFFMAP_PREV_POLICY_TRIGGER_NOT;不再拥有 $POLICY|Y$ 作为政策;;;;;;;;;;X
OFFMAP_PREV_POLICY_TRIGGER;拥有 $POLICY|Y$ 作为政策;;;;;;;;;;X
OFFMAP_STATUS_FLAG_TRIGGER_NOT;当前的状态没有 $FLAG|Y$ 旗帜;;;;;;;;;;X
OFFMAP_STATUS_FLAG_TRIGGER;当前的状态有 $FLAG|Y$ 旗帜;;;;;;;;;;X
OFFMAP_PREV_STATUS_FLAG_TRIGGER_NOT;先前的状态没有 $FLAG|Y$ 旗帜;;;;;;;;;;X
OFFMAP_PREV_STATUS_FLAG_TRIGGER;先前的状态有 $FLAG|Y$ 旗帜;;;;;;;;;;X
OFFMAP_POLICY_FLAG_TRIGGER_NOT;当前的政策没有 $FLAG|Y$ 旗帜;;;;;;;;;;X
OFFMAP_POLICY_FLAG_TRIGGER;当前的政策有 $FLAG|Y$ 旗帜;;;;;;;;;;X
OFFMAP_PREV_POLICY_FLAG_TRIGGER_NOT;先前的政策没有 $FLAG|Y$ 旗帜;;;;;;;;;;X
OFFMAP_PREV_POLICY_FLAG_TRIGGER;先前的政策有 $FLAG|Y$ 旗帜;;;;;;;;;;X
OFFMAP_SET_STATUS;地位改变为 $STATUS|Y$;;;;;;;;;;X
OFFMAP_SET_POLICY;政策改变为 $POLICY|Y$;;;;;;;;;;X
OFFMAP_SET_HOLDER;设置持有人 $WHO|Y$;;;;;;;;;;X
OFFMAP_HAS_NAME_NOT;当前未命名为 $NAME|Y$;;;;;;;;;;X
OFFMAP_HAS_NAME;当前未命名为 $NAME|Y$;;;;;;;;;;X
OFFMAP_HAS_NOT_USED_NAME;未使用此名称 $NAME|Y$;;;;;;;;;;X
OFFMAP_HAS_USED_NAME;使用此名称 $NAME|Y$;;;;;;;;;;X
OFFMAP_SET_NAME;名称改变为 $NAME|Y$;;;;;;;;;;X
IS_OFFMAP_RULER_NOT;不是一个非地图标题的统治者;;;;;;;;;;X
IS_OFFMAP_RULER;是一个非地图标题的统治者;;;;;;;;;;X
IS_OFFMAP_GOVERNOR_NOT;不是一个非地图标题的管理者;;;;;;;;;;X
IS_OFFMAP_GOVERNOR;是一个非地图标题的管理者;;;;;;;;;;X
ADULT_ONLY;仅限成年人;;;;;;;;;;X
OFFMAP_CURRENCY_TRIGGER_NOT;没有 $COMPARISON|Y$ $VALUE|Y$ $CURRENCY|Y$ 通过 $OFFMAP|Y$;;;;;;;;;;X
OFFMAP_CURRENCY_TRIGGER;拥有 $COMPARISON|Y$ $VALUE|Y$ $CURRENCY|Y$ 通过 $OFFMAP|Y$;;;;;;;;;;X
monthly_grace;每月恩典;;;;;;;;;;X
offmap_full_title;$TITLE$ $TIER$;;;;;;;;;;X
OFFMAP_BOONS;§YAsk for Boon§!;;;;;;;;;;X
OFFMAP_GIFTS;§YPay Tribute§!;;;;;;;;;;X
OFFMAP_TAG_TRIGGER_NOT;不是 $OFFMAP|Y$;;;;;;;;;;X
OFFMAP_TAG_TRIGGER;是 $OFFMAP|Y$;;;;;;;;;;X
OFFMAP_MAP_MODE;§YOpen Map Mode§!;;;;;;;;;;X
OFFMAP_MAP_MODE_DESC;展示了当权者、朝贡国和外交势力的范围 [Root.GetShortGenericName] 范围;;;;;;;;;;X
DECISION_SELECT_THIRD_PARTY;§RYou need to select a third party§!;;;;;;;;;;X
THIRD_PARTY_SCORE;价值;;;;;;;;;;X
OCCUPATION_WARSCORE_LIMIT_ATTACKERS;对以此战争借口的进攻者从占领得到的战争分数不超过 $VALUE$;;;;;;;;;;X
OCCUPATION_WARSCORE_LIMIT_DEFENDERS;对以此战争借口的防御者从占领得到的战争分数不超过 $VALUE$;;;;;;;;;;X
BECOME_SECRET_HERETIC_EFFECT;秘密接受 $HERESY|Y$ 异端。\n;;;;;;;;;;X
OFFMAP_NEWS_TRIGGER_NOT;没有收到来自于 $OFFMAP|Y$;;;;;;;;;;X
OFFMAP_NEWS_TRIGGER;收到来自于 $OFFMAP|Y$;;;;;;;;;;X
MAPMODE_OFFMAP_GOVERNOR;§YGovernor of $OFFMAP$§!;;;;;;;;;;X
MAPMODE_OFFMAP_TRIBUTARY;§YTributary of $OFFMAP$§!;;;;;;;;;;X
MAPMODE_OFFMAP_RANGE;§YIn diplomatic range of $OFFMAP$§!;;;;;;;;;;X
TRADE_ROUTE_VALUE_REDUCED;围攻和占领降低了此省 $VALUE|Y$% 贸易路线的影响;;;;;;;;;;X
TRADE_ROUTE_VALUE_REDUCED_BY_THIS;战争降低了此省 $VALUE|Y$% 贸易路线的影响;;;;;;;;;;X
OFFMAP_NEWS;收到新闻;;;;;;;;;;X
